RESULTADOS DE ORDENACAO
Media de 100 execucoes por algoritmo (em milissegundos)
--------------------------------------------------------------------------------
Tamanho    Bubble(ms)           Insertion(ms)        Shell(ms)           
--------------------------------------------------------------------------------
10         0,008091             0,001452             0,001913            
20         0,004959             0,003780             0,002177            
30         0,002761             0,001303             0,001028            
40         0,005264             0,002556             0,002227            
50         0,014058             0,003610             0,002320            
60         0,019571             0,007092             0,002347            
70         0,010347             0,031105             0,003272            
80         0,004644             0,001786             0,004537            
90         0,006018             0,002289             0,007439            
100        0,008832             0,003440             0,007403            
1000       0,805772             0,195342             0,066832            
2000       3,144003             0,767593             0,159363            
3000       6,954618             1,679606             0,259490            
4000       11,875178            2,849335             0,351232            
5000       19,232164            4,366687             0,457677            
6000       28,457795            6,527373             0,584306            
7000       40,718564            8,549286             0,681249            
8000       53,262492            11,531062            0,851126            
9000       72,081760            14,922730            0,936458            
10000      90,404612            17,885435            1,120829            
--------------------------------------------------------------------------------
