RESULTADOS DE ORDENACAO
Media de 100 execucoes por algoritmo (em milissegundos)
--------------------------------------------------------------------------------
Tamanho    Bubble(ms)           Insertion(ms)        Shell(ms)           
--------------------------------------------------------------------------------
10         0,008105             0,001660             0,001877            
20         0,006556             0,002972             0,002393            
30         0,002729             0,001365             0,000940            
40         0,004199             0,001775             0,001630            
50         0,012484             0,003249             0,002214            
60         0,022388             0,009952             0,003054            
70         0,010034             0,028204             0,003292            
80         0,004858             0,001752             0,004211            
90         0,007056             0,002624             0,007570            
100        0,009227             0,003380             0,009776            
1000       0,850130             0,209023             0,075440            
2000       3,190288             0,768589             0,163710            
3000       6,827445             1,603864             0,256184            
4000       12,025991            2,780460             0,366294            
5000       19,448186            4,323464             0,495263            
6000       27,835808            6,342275             0,607451            
7000       41,259070            8,510338             0,716966            
8000       53,083167            11,298537            0,868446            
9000       72,453162            15,022643            0,990191            
10000      90,226903            17,696801            1,162556            
--------------------------------------------------------------------------------
