RESULTADOS DE ORDENACAO
Media de 100 execucoes por algoritmo (em milissegundos)
--------------------------------------------------------------------------------
Tamanho    Bubble(ms)           Insertion(ms)        Shell(ms)           
--------------------------------------------------------------------------------
10         0,011726             0,001722             0,001575            
20         0,004802             0,003346             0,003536            
30         0,003456             0,001208             0,001416            
40         0,005863             0,003005             0,002245            
50         0,022127             0,006110             0,003233            
60         0,017686             0,011612             0,003169            
70         0,005364             0,023405             0,007226            
80         0,006643             0,002455             0,007226            
90         0,010485             0,002978             0,004592            
100        0,008513             0,002727             0,001978            
1000       1,259980             0,241201             0,078554            
2000       3,712223             0,849548             0,173155            
3000       6,841709             1,676053             0,255201            
4000       11,853669            2,868974             0,355202            
5000       19,437264            4,566465             0,474844            
6000       28,527924            6,489904             0,592381            
7000       38,710444            9,259177             0,679378            
8000       52,921312            11,382825            0,839962            
9000       71,120462            14,978836            0,959881            
10000      88,771649            20,078711            1,060449            
--------------------------------------------------------------------------------
