RESULTADOS DE ORDENACAO
Media de 100 execucoes por algoritmo (em milissegundos)
--------------------------------------------------------------------------------
Tamanho    Bubble(ms)           Insertion(ms)        Shell(ms)           
--------------------------------------------------------------------------------
10         0,006953             0,001382             0,001713            
20         0,007031             0,005707             0,004481            
30         0,002641             0,001350             0,000973            
40         0,004843             0,002600             0,001680            
50         0,015034             0,003397             0,002014            
60         0,014364             0,011149             0,003552            
70         0,003355             0,033759             0,004540            
80         0,004646             0,001903             0,004465            
90         0,005635             0,002134             0,001331            
100        0,006861             0,002508             0,001423            
1000       0,791980             0,199682             0,071856            
2000       3,222899             0,809683             0,170015            
3000       6,628908             1,648625             0,260297            
4000       11,847528            2,909799             0,360431            
5000       18,757857            4,599514             0,459166            
6000       27,213281            6,510325             0,587516            
7000       40,759548            8,615482             0,679395            
8000       52,067021            11,680012            0,842404            
9000       66,162795            15,464496            0,919441            
10000      83,823952            19,595250            1,048342            
--------------------------------------------------------------------------------
